number of reviewer,r_last_interact(month),submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,review_time_duration_day,Avg_patch_LOC,Avg_cyclomatic_complexity,defective
1,1,1,0,0,1,0,0,30021,0.561556457,0,0.342939723,17,3,5,25,0,2914,1
1,1,1,5,0,4,0,0,30019,0.561556457,0,0.342939723,7,3,5,25,0,2917,1
1,1,1,8,0,2,0,0,30017,0.557693518,0,0.263677536,8,3,5,25,0,2957,0
1,1,1,11,0,2,0,0,30015,0.557693518,0,0.263677536,22,3,5,25,0,2960,1
1,1,1,14,0,4,0,0,30013,0.553761905,0,0.281879047,13,3,5,25,0,2962,1
1,1,1,6,3,7,0,0,30011,0.544655005,8,0.333277072,82,3,5,25,0,2970,1
1,1,1,18,0,2,0,0,30009,0.544655005,0,0.333277072,1,3,5,25,0,2970,1
2,1,1,18,0,2,0,0,30005,0.540487087,1,0.294219121,100,3,5,25,0,2970,0
1,1,1,6,0,2,0,0,30007,0.540487087,0,0.328890736,6,3,5,25,0,2970,1
1,1,1,0,0,2,0,0,30003,0.538374384,0,0.28098475,16,3,5,25,0,2970,1
1,1,1,0,0,1,0,0,30001,0.535168651,0,0.32778512,13,3,5,25,0,2990,1
1,1,1,0,1,2,0,0,29999,0.535168651,1,0.310355774,161,3,5,25,0,2992,1
1,1,1,3,0,2,0,0,29997,0.533006645,0,0.325996845,2,3,5,25,0,2993,1
1,1,1,36,0,9,0,0,24365,0.519600137,0,0.298748859,36,3,5,89,0,2993,1
1,1,1,0,3,3,0,0,23785,0.519600137,3,0.298748859,270,3,5,95,0,3000,1
1,1,1,44,1,1,0,0,23783,0.518448099,1,0.297763956,43,3,5,95,0,3022,0
1,1,1,1,0,1,0,0,23781,0.514958592,0,0.280536765,3,3,5,95,0,3032,1
1,1,1,22,0,2,0,0,23779,0.514958592,0,0.295785826,19,3,5,95,0,3067,1
3,1,1,4,3,3,0,0,23777,0.502952617,4,0.282019524,126,3,5,95,0,3072,1
3,1,1,8,4,7,0,1,23775,0.502952617,5,0.282019524,100,3,5,95,0,3079,1
1,1,1,75,0,3,0,0,32161,0.496723953,0,0.282651272,23,3,5,9,0,3132,1
1,1,1,2,0,2,0,0,23773,0.496723953,0,0.27511708,16,3,5,95,0,3134,1
1,1,1,48,14,10,0,0,22611,0.47016585,15,0.261459286,41,3,5,105,0,3161,1
1,1,1,81,1,10,0,0,23771,0.47016585,1,0.261459286,92,3,5,95,0,3162,1
1,1,1,1,0,2,0,0,22609,0.467355059,0,0.27420585,19,3,5,105,0,3204,1
1,1,1,21,0,5,0,0,22607,0.455807201,0,0.255964191,64,3,5,105,0,3215,1
1,1,1,77,5,3,0,0,22605,0.455807201,5,0.272834703,54,3,5,105,0,3217,1
1,1,1,2,2,5,0,0,32159,0.448332025,2,0.270537908,169,3,5,9,0,3367,1
1,1,1,45,0,7,0,0,28745,0.434346076,0,0.317668174,33,3,5,43,0,3401,1
1,1,1,29,0,2,0,1,30301,0.434346076,1,0.317668174,0,3,5,22,0,3401,1
2,1,1,129,1,2,0,0,30299,0.426265306,2,0.331305687,155,3,5,22,0,3414,1
1,1,1,29,0,3,0,0,28743,0.426265306,2,0.311914954,82,3,5,43,0,3424,1
1,1,1,28,0,3,0,0,28741,0.419632535,0,0.307242051,26,3,5,43,0,3425,1
1,1,1,13,0,1,0,0,28739,0.419632535,0,0.307242051,16,3,5,43,0,3429,1
1,1,1,12,7,4,0,1,22601,0.412844612,9,0.302505244,84,3,5,105,0,3431,1
1,1,1,19,0,6,0,0,30065,0.402359694,0,0.295277319,13,3,5,25,0,3432,1
1,1,1,0,9,2,0,0,22603,0.393331895,10,0.250386711,30,3,5,105,0,3439,1
1,1,1,9,0,3,0,0,22581,0.393331895,1,0.250386711,13,3,5,105,0,3442,1
1,1,1,16,1,3,0,0,22599,0.387783101,1,0.269152853,2,3,5,105,0,3454,1
1,1,1,19,1,5,0,0,22597,0.378306059,1,0.266832703,68,3,5,105,0,3454,1
1,1,1,11,0,4,0,0,22595,0.366538982,0,0.264029004,10,3,5,105,0,3460,1
1,1,1,1,0,2,0,0,22593,0.366538982,0,0.264029004,36,3,5,105,0,3494,1
1,1,1,0,3,2,0,2,22591,0.358443633,6,0.262147928,35,3,5,105,0,3495,1
1,1,1,20,0,2,0,0,22589,0.358443633,0,0.262147928,26,3,5,105,0,3567,1
1,1,1,38,0,6,0,0,22585,0.332866635,1,0.25644656,120,3,5,105,0,3569,1
1,1,1,11,0,6,0,0,22587,0.332866635,0,0.25644656,19,3,5,105,0,3569,1
1,1,1,120,4,16,0,0,22583,0.275064466,4,0.244775349,306,3,5,105,0,3569,1
1,1,1,38,1,8,0,0,22579,0.275064466,1,0.244775349,41,3,5,105,0,3576,1
1,1,1,1,0,2,0,0,22577,0.269792208,0,0.248132235,2,3,5,105,0,3576,1
2,1,1,0,0,1,0,0,22575,0.2644427,0,0.246079262,24,3,5,105,0,3584,1
1,1,1,15,0,1,0,0,22573,0.2644427,0,0.245864158,0,3,5,105,0,3601,1
1,1,1,3,0,3,0,0,22569,0.239366883,0,0.257916015,36,3,5,105,0,3601,1
1,1,1,18,0,6,0,0,22571,0.239366883,0,0.241301911,19,3,5,105,0,3602,1
1,1,1,52,0,6,0,0,22567,0.221677741,0,0.238299148,53,3,5,105,0,3604,1
1,1,1,132,0,47,0,0,33021,0.28351763,0,0.446220351,132,3,4,0,0,3604,1
1,1,1,23,0,2,2,2,32945,0.554836777,2,0.36361995,23,3,4,1,1208.5,3607,1
1,1,1,23,0,2,0,0,32943,0.549696694,0,0.357530189,23,3,4,0,0,3607,1
1,1,1,2,0,1,2,0,32903,0.492511993,0,0.445924209,2,3,4,0,9242,3607,1
1,1,0,9,0,1,0,0,32849,0,0,0.183237548,0,3,4,0,0,3614,1
1,1,1,0,0,3,0,0,32833,0.365387935,0,0.32894007,59,3,4,1,33.66666667,3622,0
1,1,1,0,0,3,0,0,32831,0.36311334,0,0.316117269,59,3,4,1,33.66666667,3672,1
1,1,1,83,0,2,0,0,32211,0.544101382,0,0.352012882,118,3,4,5,0,3736,1
1,1,1,83,5,2,28,3,32213,0.538141923,8,0.345691057,118,3,4,5,1222,3759,1
1,1,1,104,0,8,0,0,27687,0.327746474,3,0.313912022,418,3,5,49,0,3811,1
1,1,1,104,3,8,79,0,27689,0.318798007,7,0.301380735,418,3,5,49,1122.25,3811,1
1,1,1,35,0,2,0,0,32761,1,0,1,87,3,4,2,0,3814,1
1,1,1,140,0,10,49,0,32145,1,0,0.284090909,137,3,4,6,1102.6,3823,1
1,0.125,1,2,0,2,0,0,32147,1,0,0.125,17,3,4,6,576.5,3831,1
1,1,1,5,0,4,5,0,32777,0.452918587,0,0.290461857,36,3,4,1,499.5,3839,0
1,1,1,11,0,2,10,0,32773,0.450703682,1,0.287985284,59,3,4,1,97.5,3840,1
1,1,1,149,0,5,39,0,32695,0.445087156,1,0.281717549,100,3,4,1,108,3857,1
1,0,1,61,0,11,20,0,32615,0.361109726,0,0,28,3,4,2,3403.818182,3869,1
1,1,1,5,0,4,0,0,32775,0.442056946,0,0.277953134,36,3,4,0,0,3881,1
1,1,1,159,0,6,54,0,32693,0.435068098,0,0.27018919,158,3,4,0,107.6666667,3881,1
1,1,1,49,0,7,22,0,32563,1,0,0.443478261,62,3,4,2,550.7142857,3881,0
1,0.2,0,49,0,7,22,0,32565,0,0,0.2,62,3,4,2,550.7142857,3881,1
1,1,1,0,0,1,0,0,32601,1,0,0.243729139,1,3,4,2,440,3881,0
1,1,1,0,0,1,0,0,32599,1,0,0.243729139,1,3,4,2,0,3881,0
1,1,1,0,0,1,0,0,32595,1,0,1,1,3,4,1,0,3881,0
1,0,1,0,0,1,0,0,32597,1,0,0,1,3,4,1,270,3882,1
1,1,1,2,0,1,0,0,32735,0.322816765,0,0.312843042,1,3,4,1,103,3892,0
1,1,1,2,0,1,0,0,32733,0.322341882,0,0.31127419,1,3,4,1,0,3909,1
1,1,1,4,0,4,0,0,32261,0.644736842,0,0.320681803,72,3,4,3,0,3909,1
1,1,1,26,0,3,17,0,32727,0.49394624,0,1,60,3,5,1,2538,3912,1
1,1,1,26,0,3,0,0,32725,0.490225257,0,1,60,3,5,1,0,3915,1
1,1,1,167,0,46,5,0,32577,0.448716518,0,0.394087804,154,3,4,1,20.23913043,3959,0
1,1,1,31,0,5,2,0,31503,0.366279762,0,0.242162083,11,3,4,9,1040.8,3989,1
1,1,1,20,1,3,9,0,27189,0.510360679,1,0.462632275,19,0,4,55,3501.666667,3993,1
1,1,1,155,0,25,40,0,32645,0.373610003,0,0.362988946,289,3,4,1,3029.32,3997,1
1,1,1,81,7,14,65,2,27179,0.492783883,10,0.444634313,212,0,4,55,2625.571429,3999,1
1,1,1,11,0,1,7,0,32673,0.198206953,0,0.172505126,11,3,4,1,2686,4000,0
1,0.5,1,11,0,1,7,0,32675,0.197359391,0,0.170520726,11,3,4,1,2686,4000,1
2,1,1,7,2,3,1,0,31841,0.192236153,2,0.244543651,18,3,4,7,4059.666667,4007,0
2,1,1,7,0,3,0,0,31839,0.192236153,0,0.244543651,18,3,4,7,0,4009,0
1,1,1,0,2,2,0,0,31791,0.432699411,2,0.527777778,9,3,4,7,6435,4011,1
1,1,1,5,0,4,4,0,10633,0.446345029,0,1,69,3,4,233,475.5,4011,0
1,1,1,1,0,3,1,0,27655,0.431381381,0,1,26,3,4,48,2293,4014,1
1,1,1,34,0,5,1,0,27653,0.404559748,0,1,31,3,4,48,56,4017,0
1,1,1,12,0,1,0,0,27651,0.398888889,0,1,0,3,4,48,223,4023,0
1,1,1,2,0,2,2,0,27649,0.387216828,2,1,31,3,4,48,241,4041,0
1,1,1,31,0,5,2,0,31501,0.359077853,0,0.24004636,11,3,4,8,1040.8,4044,1
1,1,1,48,0,10,24,0,27191,0.47943609,0,0.431897759,32,0,4,55,3485.9,4073,1
1,1,1,71,1,5,34,0,27187,0.472495238,1,0.424849344,50,0,4,55,3122.2,4099,1
1,1,1,16,0,3,9,0,27185,0.468241167,0,0.420535714,12,0,4,55,8834,4099,1
1,1,1,118,0,15,64,0,27183,0.445898359,0,0.397959184,75,0,4,55,4142.4,4099,1
1,1,1,113,0,20,97,0,27181,0.413013989,0,0.364970646,118,0,4,55,2793.55,4099,1
1,1,1,13,0,3,4,0,32605,0.281145666,0,0.235491071,26,3,4,1,3307,4298,1
1,0.25,1,13,0,3,0,0,32603,0.27683254,0,0.197892272,26,3,4,1,3083.666667,4304,1
1,1,1,2,0,1,0,0,32629,1,0,0.846153846,0,3,4,1,235,4338,0
1,1,0.5,155,0,25,0,0,32643,0.271923315,0,0.282962431,289,3,4,0,0,4363,1
1,0,1,0,0,1,0,0,31265,0.888198758,0,0,39,3,4,10,2348,4363,1
1,1,0,59,11,30,39,9,31429,0,20,0.196969697,442,3,4,9,642.8666667,4364,1
1,1,0,59,0,30,0,0,31427,0,0,0.196969697,442,3,4,9,0,4395,1
1,1,1,2,0,1,0,0,32627,1,0,0.833333333,0,3,4,0,235,4399,1
1,1,1,3,1,1,3,0,32401,0.321880969,1,0.647058824,3,3,4,2,2969,4399,1
1,1,1,285,0,7,5,0,32411,0.564516129,0,0.237416873,94,3,4,2,122.1428571,4420,0
1,1,1,8,1,1,8,0,32405,0.321403421,1,0.313283208,9,3,4,2,2970,4423,1
1,1,1,167,0,46,0,0,32575,0.317337032,0,0.323899371,154,3,4,0,0,4423,1
2,1,1,18,0,11,8,0,28713,0.396428571,0,0.358458647,163,5,4,38,1404.727273,4424,1
1,1,1,9,0,1,5,0,32397,0.320925199,0,0.625,9,3,4,1,2973,4434,1
1,0.5,1,0,0,2,0,0,31669,0.433819549,0,0.433333333,9,3,4,7,0,4440,1
1,1,1,3,1,1,1,0,32289,1,1,0.31170817,6,3,1,2,98,4446,0
1,1,1,72,0,2,6,0,32393,0.319966731,0,0.237177074,93,3,4,1,519.5,4446,1
1,1,1,4,2,1,2,2,28721,0.394571429,4,0.344799676,33,5,4,37,835,4447,1
1,0,1,0,0,1,0,0,31263,0.885714286,0,0,39,3,4,9,2348,4447,1
2,1,1,24,0,1,5,0,31931,0.388877218,0,0.704545455,22,3,4,5,91,4447,0
1,1,1,1,6,3,1,0,32265,0.517857143,6,0.318582879,71,3,4,1,832.6666667,4447,1
1,1,0.5,3,0,1,1,0,32263,0.5,0,0.31810063,1,3,4,1,1867,4447,1
1,1,1,0,0,1,0,0,31667,0.313594961,0,0.23889763,7,5,4,5,2175,4457,0
1,1,1,3,0,1,0,0,32287,1,0,0.310125889,6,3,1,1,0,4460,1
1,1,1,0,0,3,0,0,28723,0.38893079,0,0.339183673,15,5,4,37,209.3333333,4462,1
1,0.5,1,0,7,2,0,0,28719,0.385111607,7,0.5,76,5,4,37,208,4470,1
1,1,1,10,1,3,2,0,28715,0.375351474,1,0.329606625,20,5,4,37,4372,4473,1
1,1,1,4,2,2,4,1,28717,0.375351474,3,0.329606625,19,5,4,37,228.5,4482,1
1,0,1,8,0,1,0,0,32403,0.317782949,0,0,9,3,4,0,0,4483,1
1,1,1,3,0,1,0,0,32399,0.31729945,0,0.6,3,3,4,0,0,4483,1
1,1,1,9,0,1,0,0,32395,0.316815265,0,0.571428571,9,3,4,0,0,4486,1
1,1,1,72,0,2,0,0,32391,0.315844832,0,0.239552989,93,3,4,0,0,4504,1
1,1,1,1,0,1,1,0,32225,0.373362147,0,0.174530711,2,3,4,1,629,4522,0
1,1,0.5,11,0,4,2,0,29065,0.375,1,0.75,27,3,4,32,4844,4533,0
1,1,1,4,1,5,2,0,31383,0.966666667,1,0.239293696,170,3,5,7,192.2,4541,1
1,1,1,47,0,11,46,0,31385,0.938461538,0,0.233624475,77,3,5,7,1412.272727,4541,1
1,1,1,13,0,8,4,0,31381,0.84,0,0.229448042,101,3,5,7,1046.625,4542,1
1,1,0.2,25,0,4,11,0,31379,0.2,0,0.227342709,48,3,5,7,1760,4543,1
1,1,1,1,0,1,1,0,32273,1,0,0.226814577,1,3,4,1,2012,4543,0
1,1,1,2,0,1,0,0,32285,1,0,0.524520256,6,3,4,1,1504,4544,0
1,1,1,2,0,1,0,0,32283,1,0,0.517316017,6,3,4,0,1504,4653,1
1,1,1,1,0,1,0,0,32271,1,0,0.227171658,1,3,4,0,0,5089,1
1,1,1,2,0,2,2,0,31981,0.880398671,0,0.317181419,6,5,4,3,671.5,5395,0
1,1,1,64,0,22,53,0,32209,0.465704416,0,1,983,3,5,1,356.8181818,5395,0
1,1,1,160,0,21,105,0,32207,0.434964123,1,1,3370,3,5,1,404.952381,5395,1
1,0,1,116,0,35,0,0,32205,0.393417367,0,0,3974,3,5,1,0,5395,1
1,1,1,1,0,1,1,0,32223,0.373703028,0,0.167289752,2,3,4,0,629,5395,1
1,1,1,0,0,1,0,0,32135,0.391628038,0,0.32336902,1,3,5,1,5181,5395,1
1,1,1,152,0,12,9,0,31725,0.259086326,0,0.293431013,357,3,4,3,1154.166667,5414,1
1,1,1,27,0,4,0,0,31727,0.252963072,0,0.282390873,0,3,4,3,3470,5414,1
1,1,1,0,0,1,0,0,32133,0.389828121,0,0.322239419,1,3,5,0,0,5433,1
3,1,1,23,1,14,0,0,27561,0.306060208,1,0.272249809,246,3,5,44,0,5452,1
1,1,1,0,17,3,0,3,30935,0.302483198,25,0.248997494,169,3,5,9,0,5455,1
2,1,1,23,0,11,0,0,27565,0.289045922,1,0.28670604,77,3,5,44,0,5456,1
1,1,0.5,43,0,1,41,0,31917,0.18538961,0,0.175193798,47,3,4,1,743,5460,0
1,1,1,16,1,1,6,0,32011,0.320448179,1,0.320695103,12,3,4,1,577,5460,0
1,1,1,16,0,1,0,0,32009,0.313719943,0,0.317460317,12,3,4,0,0,5472,1
1,1,1,14,0,1,5,0,31927,0.323951962,0,0.333352758,24,3,4,1,113,5481,0
1,1,1,2,0,2,0,0,31979,0.87456446,0,0.321764104,6,5,4,0,0,5482,1
2,1,1,11,0,6,12,0,31825,1,0,0.24446485,62,3,4,1,243.6666667,5483,1
1,1,1,24,0,18,13,0,30861,0.412873815,1,0.539141414,121,3,4,9,352.0555556,5483,1
1,1,1,2,0,3,2,0,12171,0.540540541,0,1,17,3,4,209,871,5483,0
1,0,0.5,2,0,3,2,0,12173,0.5,0,0,17,3,4,209,871,5483,1
2,1,1,24,0,1,0,0,31929,0.385631777,0,0.6953125,22,3,4,0,0,5484,1
1,1,1,14,0,1,0,0,31925,0.337034386,0,0.32969697,24,3,4,0,0,5484,1
1,1,1,0,0,1,0,0,31909,0.328446204,0,0.319404213,1,3,4,1,5182,5484,1
1,1,1,1,0,1,1,0,31905,0.32796857,0,0.344359788,8,3,4,1,286,5533,1
1,0.5,1,0,0,1,0,0,31907,0.327490256,0,0.317832399,1,3,4,0,0,5533,1
1,1,1,1,0,1,0,0,31903,0.32701126,0,0.341432823,8,3,4,0,0,5533,1
2,1,1,213,0,13,12,0,31649,1,0,0.230935983,186,3,4,2,486.3846154,5535,1
1,1,1,2,0,2,2,0,30961,0.41029304,4,0.259259259,6,3,5,8,719,5576,0
1,0.166666667,1,2,0,2,0,0,30959,0.407689478,0,0.166666667,6,3,5,8,0,5608,1
1,0,1,0,0,1,0,0,31665,0.335958144,0,0,7,5,4,0,0,5640,1
1,1,1,209,2,8,8,0,31653,1,3,0.216885914,128,3,4,2,693.125,5640,1
3,1,1,14,0,12,9,0,25219,0.251430946,0,0.340445108,262,3,5,69,617.0833333,5644,1
3,1,1,14,0,12,9,0,25217,0.228338842,0,0.319111796,262,3,5,69,617.0833333,5651,1
2,1,0,3,0,3,3,0,31651,0,0,0.219104229,6,3,4,1,89.66666667,5653,1
1,1,1,15,0,2,15,0,31747,0.330188167,0,0.335499785,15,3,4,1,563.5,5654,0
1,1,1,21,0,3,13,0,31745,0.32875183,0,0.326397043,32,3,4,1,471.3333333,5656,1
1,1,1,19,0,2,0,0,31705,0.371390292,0,0.286642824,0,3,4,1,94.5,5680,0
1,1,1,0,0,2,0,0,31701,0.38671,2,0.395988466,51,3,4,1,2118,5683,1
1,1,1,1,0,2,1,0,31699,0.385237515,0,0.39426025,40,3,4,1,2092.5,5683,1
1,1,1,86,0,7,86,0,31697,0.380027663,0,0.388132825,109,3,4,1,399.1428571,5683,1
1,1,1,26,0,2,25,0,31695,0.378522876,0,0.386359297,26,3,4,1,229.5,5684,1
1,1,1,3,0,5,0,0,25919,1,0,0.90625,3,3,4,60,0,5684,1
1,1,1,3,0,5,0,0,25917,1,0,0.863636364,3,3,4,60,0,5687,1
1,1,1,6,0,8,0,0,25915,1,0,0.5,6,3,4,60,0,5687,1
1,1,0,736,0,3,1,0,31553,0,0,0.420207254,1,3,4,2,1867,5687,0
1,1,1,36,0,3,0,0,31743,0.327309319,0,0.317041446,47,3,4,0,0,5694,1
1,1,1,7,13,3,1,0,30725,0.226468084,14,0.246185141,1,3,4,8,4387.666667,5705,1
1,1,1,186,0,15,0,0,30723,0.226468084,0,0.246185141,358,3,4,8,0,5711,1
1,1,1,5,6,8,2,0,30515,0.638888889,6,0.318776349,53,3,4,9,1371.125,5726,1
1,1,1,2,0,10,2,0,30511,0.638888889,0,0.318776349,105,3,4,9,1510.9,5741,1
1,1,0.5,0,11,4,0,0,30513,0.458333333,11,0.316793166,55,3,4,9,1344.75,5746,1
1,1,1,113,0,9,0,0,31693,0.371681849,0,0.37827573,226,3,4,0,0,5747,1
2,1,1,17,0,3,15,0,31575,0.336854999,3,0.219154062,92,3,5,1,967.3333333,5747,1
1,1,1,12,0,1,10,0,31587,0.316465508,0,0.314252492,11,3,4,1,743,5747,1
1,1,1,4,0,4,3,0,31647,0.220744864,0,0.305524734,25,3,4,1,1040.5,5747,0
1,1,1,4,0,4,0,0,31645,0.213939142,0,0.291772749,25,3,4,0,0,5747,1
1,1,1,2,0,2,2,0,31623,0.225221484,0,0.377922078,2,3,4,1,440,5747,0
1,1,0.5,2,0,2,0,0,31621,0.221601024,0,0.365095729,2,3,4,0,0,5747,1
1,1,1,1,1,1,1,0,31619,1,1,1,1,3,4,1,229,5748,1
1,0,1,1,0,1,0,0,31617,1,0,0,1,3,4,1,0,5748,1
1,0.25,0,0,0,1,0,0,25931,0,0,0.25,5,3,4,59,0,5750,0
1,1,1,4,0,1,4,0,31237,1,0,0.533486708,4,3,4,2,480,5759,0
1,1,1,4,0,1,0,0,31235,1,0,0.533486708,4,3,4,2,0,5760,0
1,1,1,12,0,1,0,0,31585,0.319247189,0,0.311048064,11,3,4,0,0,5760,1
1,1,1,24,1,18,13,0,30859,0.383180077,1,0.475574713,121,3,4,6,352.0555556,5783,1
1,0,1,2,0,1,2,0,31459,0.286866625,0,0,6,3,3,1,3380,5786,1
1,1,1,14,0,2,0,0,31171,0.318764338,0,0.30643531,0,3,4,2,565.5,5789,1
1,1,1,58,0,4,36,0,31169,0.316769504,0,0.293097527,106,3,4,2,385.25,5794,1
1,0,1,2,0,1,0,0,31457,0.285792896,0,0,6,3,3,1,0,5807,1
1,0.2,1,6,0,1,3,0,30615,0.374577573,0,0.161974996,14,4,4,7,7968,5807,1
1,1,1,145,0,33,37,0,30881,0.357502904,0,0.366319444,42,3,4,6,97.63636364,5807,1
1,0.5,1,189,0,9,7,0,30879,0.343082769,0,0.31493994,23,3,4,6,242.5555556,5808,1
1,1,1,0,0,1,0,0,31421,1,0,1,1,3,4,1,841,5808,0
1,1,1,0,0,1,0,0,31419,1,0,1,1,3,4,0,0,5811,1
1,1,1,4,0,2,3,0,31221,1,0,0.315628816,7,3,4,1,563.5,5811,0
1,1,1,4,0,2,0,0,31219,1,0,0.278635779,7,3,4,1,0,5812,1
1,1,1,0,16,2,0,0,29643,1,16,0.200303235,319,3,4,14,163.5,5815,0
1,1,1,1,0,3,0,0,29639,1,0,0.177011096,326,3,4,14,0,5817,1
1,1,1,1,2,1,1,0,29641,1,2,0.168942577,7,3,4,14,105,5817,1
1,1,1,38,1,2,38,0,31155,0.2998557,1,0.394811948,56,3,4,2,1175.5,5817,1
1,1,1,38,0,2,0,0,31153,0.285419735,0,0.388790176,56,3,4,2,0,5826,1
1,1,1,0,0,1,0,0,31201,1,0,0.430555556,2,3,4,1,0,5826,0
1,0.166666667,1,0,0,1,0,0,31203,1,0,0.145833333,2,3,4,1,1066,5828,1
1,1,1,72,0,4,0,0,31167,0.315965667,0,0.283835201,106,3,4,0,0,6076,1
1,1,1,5,0,1,6,0,31149,0.292733135,0,0.403650794,7,3,4,1,794,6159,1
1,0,1,2,0,2,2,0,27709,0.218182876,0,0,20,3,5,36,884,6181,1
1,1,1,3491,0,14,1,0,31135,0.378574987,0,0.380695096,3599,3,4,1,507.7857143,6181,1
1,1,1,3491,0,14,0,0,31133,0.367520412,0,0.367417503,3599,3,4,0,0,6181,1
1,1,1,11,4,6,9,0,13867,0.291626718,13,0.857142857,143,3,4,177,1225.5,6181,1
1,1,0.5,0,1,1,0,0,30721,0.229168407,1,0.26309692,4,3,4,2,469,6183,1
1,1,0.5,0,0,1,0,0,30719,0.229168407,0,0.26309692,4,3,4,2,0,6183,1
1,1,1,5,1,1,3,0,30617,0.414409,2,0.253478644,3,4,4,3,6865,6183,1
1,1,1,0,0,6,0,0,30343,0.466666667,0,0.285249718,341,3,3,4,0,6183,1
1,1,1,2,0,1,2,0,30921,0.462463109,0,1,2,3,4,1,792,6183,1
1,0,1,2,0,1,0,0,30919,0.459748276,0,0,2,3,4,0,0,6183,1
1,1,1,0,2,3,0,0,30345,0.448484848,2,0.284692518,109,3,3,3,188,6183,1
1,1,1,1,0,1,1,1,30913,0.442145594,1,0.283408303,1,3,3,1,100,6183,1
1,1,1,31,1,1,25,0,30849,0.435658915,1,0.282119469,25,3,3,1,106,6183,1
1,1,1,1,0,1,1,0,30909,0.429019608,0,0.280825991,1,3,3,1,100,6183,1
1,1,1,3,0,2,2,0,30907,0.415261044,0,0.278225,2,3,3,1,112,6183,1
1,1,1,4,0,1,0,0,30905,0.408130081,0,0.276917436,4,3,3,1,104,6183,1
1,1,1,0,2,2,0,0,30845,0.393333333,3,0.274288045,126,3,3,1,178,6183,1
1,1,1,1,0,2,1,0,30853,0.377777778,0,0.271639462,1,3,3,1,116,6183,1
1,1,1,1,1,1,1,0,30851,0.36969697,1,0.270307907,1,3,3,1,100,6183,1
1,1,1,3,0,1,3,0,30847,0.361403509,0,0.268971474,3,3,3,1,106,6183,1
1,1,1,2,0,1,2,0,30899,0.376190476,0,0.457005882,3,3,4,1,792,6183,1
1,1,1,2,0,1,0,0,30897,0.36962406,0,0.454235504,3,3,4,0,0,6194,1
1,1,1,0,0,1,0,0,30639,1,0,0.271497583,1,3,4,2,9574,6195,1
1,1,1,0,0,1,0,0,30637,1,0,0.271497583,1,3,4,2,9574,6196,1
1,1,1,76,0,3,8,1,29115,0.209298928,3,1,156,3,4,17,520.6666667,6196,0
1,1,1,4,1,3,4,2,29477,0.451950227,4,0.145381526,11,3,4,9,2349.666667,6196,1
1,1,1,3,0,1,1,0,30119,0.351827957,0,0.289838036,4,3,5,5,3378,6275,1
1,0.166666667,1,0,2,1,0,0,30501,1,2,0.138996139,2,3,4,1,2347,6275,0
1,0.166666667,1,0,0,1,0,0,30499,1,0,0.138996139,2,3,4,1,0,6278,0
1,1,1,165,0,1,82,0,30133,0.34335512,0,0.285357518,399,3,5,5,1613,6294,0
1,1,1,16,0,3,0,0,30213,0.34335512,0,0.285357518,56,3,5,5,0,6314,1
1,1,1,7,0,1,0,0,30121,0.341202186,0,0.284228541,13,3,5,5,0,6314,0
1,1,1,41,0,7,0,0,30109,0.30472895,1,0.265667207,214,3,5,5,0,6357,1
1,1,1,45,0,9,0,0,30111,0.30472895,0,0.265667207,153,3,5,5,0,6357,1
1,1,1,3,0,1,0,0,30105,0.289988221,0,0.258456083,3,3,5,5,0,6357,1
1,1,1,0,0,5,0,0,30107,0.289988221,0,0.258456083,148,3,5,5,0,6358,1
1,0.5,1,18,0,4,0,0,30103,0.279808841,0,0.253569467,21,3,5,5,0,6358,1
1,0.125,1,4,0,3,0,0,29475,0.447787824,0,0.113333333,11,3,4,9,0,6358,1
1,1,0.5,0,0,3,0,0,30347,0.339269406,0,0.265660521,113,3,3,1,769,6359,1
1,1,1,1,0,1,1,0,30519,1,0,1,2,3,4,1,1273,6362,0
1,1,0,1,0,1,0,0,30517,0,0,1,2,3,4,1,0,6362,1
1,1,1,0,0,1,0,0,30483,0.351361044,1,0.538461538,6,3,4,1,2938,6407,1
1,1,1,0,0,1,0,0,30481,0.352436975,0,0.5,6,3,4,0,0,6411,1
1,0.5,1,0,0,2,0,0,30293,0.418737397,0,0.257130243,18,3,4,1,3730,6450,1
1,1,1,498,3,4,109,0,30271,0.351055275,3,0.290511905,171,3,4,2,265.5,6457,1
1,1,1,10,0,1,0,0,29297,0.380199733,1,0.353699331,18,3,4,12,8835,6457,0
1,1,1,189,1,2,29,0,30269,0.350589083,1,0.286712362,118,3,4,2,618.5,6460,1
1,1,1,48,0,2,5,0,30273,0.349628416,0,0.279433916,5,3,4,2,2130,6461,1
1,1,1,1,0,1,1,0,30419,0.379190286,0,0.349475144,1,3,4,1,6590,6461,0
1,1,1,14,0,1,11,0,30417,0.378177546,1,0.345195375,20,3,4,1,6591,6462,1
1,1,1,5,0,1,1,0,30413,0.377161496,0,0.34085892,5,3,4,1,639,6481,1
1,1,1,3,0,2,3,0,30411,0.375119402,0,0.332011389,5,3,4,1,3640.5,6485,1
1,1,1,5,0,1,3,0,30409,0.374093326,1,0.327497952,5,3,4,1,637,6486,1
1,1,1,14,0,1,0,0,30415,0.373063874,0,0.322923109,20,3,4,0,0,6487,1
