number of reviewer,r_last_interact(month),submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,review_time_duration_day,Avg_patch_LOC,Avg_cyclomatic_complexity,defective
1,1,0.25,0,0,2,0,0,35123,0.148343373,0,0.666287879,8,3,4,0,0,710,1
1,1,1,5,0,7,0,0,35093,0.282241861,0,0.289003759,15,3,4,0,0,710,1
1,1,1,25,0,5,6,0,34127,1,0,0.221885714,42,3,4,8,1782.4,710,0
1,1,1,0,0,1,0,0,34153,0.727272727,0,0.238386015,4,3,4,7,0,710,0
1,1,1,0,1,1,0,1,34155,0.714285714,2,0.231763285,4,3,4,7,151,710,1
1,1,1,0,0,2,0,0,34579,0.38400643,0,0.358607552,19,3,4,5,0,716,0
1,1,1,0,1,7,0,0,34413,0.365258799,3,0.28030303,138,3,4,6,0,725,1
1,1,1,266,0,78,0,0,35049,0.314863519,0,0.75,504,3,4,0,0,729,1
1,1,1,47,0,2,10,0,34951,0.284262149,0,0.320046104,36,3,4,1,453,737,0
1,1,1,16,0,1,6,0,34949,0.283773257,0,0.319654199,14,3,4,1,774,737,1
1,1,1,61,0,2,0,0,34947,0.283123249,0,0.319116334,48,3,4,0,0,739,1
1,1,1,1,0,1,0,0,34293,0.314475392,0,0.666666667,3,4,5,5,398,742,0
1,1,1,9,0,4,9,0,34839,0.325906236,0,0.344316066,9,3,4,1,1768.75,742,0
1,1,1,7,0,2,5,0,34881,0.429976925,0,0.218166175,12,3,4,1,1340.5,744,0
1,1,1,0,0,2,0,0,34879,0.427454699,0,0.204079079,20,3,4,1,81,750,1
1,1,1,9,0,4,0,0,34837,0.322817605,0,0.329329004,9,3,4,1,0,750,1
1,1,1,6,0,3,0,0,34877,0.424477675,0,0.181970165,31,3,4,0,0,750,1
1,1,1,1,0,1,0,0,34789,0.354837554,0,0.32204102,0,3,4,1,280,755,0
1,1,1,1,0,1,0,0,34787,0.353990884,0,0.321262651,0,3,4,0,280,756,1
2,1,1,17,1,5,9,0,34739,0.412330623,1,0.264119601,63,3,4,1,134.8,756,0
2,0.5,1,17,0,5,0,0,34737,0.387429379,0,0.167293233,63,3,4,1,0,756,1
1,1,1,135,0,10,10,0,34503,0.344086881,0,0.347526319,27,3,4,1,488.5,757,0
1,1,1,1,0,1,0,0,34711,0.345276409,0,0.533262297,2,3,4,0,0,757,1
1,1,1,5,0,1,0,0,34707,0.34301093,0,0.531817288,25,3,4,0,0,757,1
1,1,1,6,0,1,0,0,34703,0.340729718,0,0.530363305,4,3,4,0,0,805,1
1,0.5,1,1,0,1,0,0,34291,0.313405362,0,0.5,3,4,5,2,398,831,1
1,1,1,221,0,11,0,0,34309,0.297163338,0,0.33781014,63,5,5,2,0,836,1
1,1,1,140,0,5,20,0,34327,0.27694901,1,0.308727477,48,5,5,2,725.6,839,1
1,1,1,60,0,8,0,0,34331,0.27694901,0,0.308727477,0,5,5,2,551.625,839,1
1,1,1,21,0,3,2,0,34313,0.272117934,2,0.301649602,9,5,5,2,1008,839,1
1,1,1,0,0,1,0,0,34325,0.270493197,0,0.299257991,6,5,5,2,305,842,1
1,1,1,2,0,1,1,0,34495,1,0,0.330541126,2,5,4,1,1275,845,0
1,1,1,10,0,6,7,0,34589,0.348863827,0,1,43,3,4,1,1188,845,0
1,1,1,10,0,6,0,0,34587,0.343654738,0,1,43,3,4,0,0,846,1
1,0.2,1,0,1,3,0,0,34303,0.387916929,3,0.170175439,73,3,4,2,0,857,1
1,1,1,5,0,2,5,0,34361,1,0,0.324104021,7,3,4,1,997,877,0
1,1,1,1,1,3,1,0,34529,1,1,0.594594595,69,5,4,1,2657.666667,985,0
1,1,1,26,0,2,3,0,34527,1,0,0.571428571,47,5,4,1,695.5,985,0
1,0.5,0,27,0,5,0,0,34525,0,0,0.5,116,5,4,0,0,985,1
1,1,1,135,0,10,0,0,34501,0.333189163,0,0.31731472,27,3,4,0,0,988,1
1,1,1,2,0,1,0,0,34493,1,0,0.320838823,2,5,4,0,0,989,1
1,1,1,0,0,2,0,0,34461,0.207769424,0,0.5,31,5,4,1,476,991,0
1,0.333333333,1,0,0,2,0,0,34459,0.205679105,0,0.333333333,31,5,4,0,0,992,1
1,1,1,15,0,5,2,0,34417,0.340592018,0,0.312544563,16,3,4,1,357.8,992,0
1,1,1,61,0,1,28,0,34405,0.318209558,0,0.530457894,170,3,4,1,298,993,0
1,1,0.25,2,0,1,2,0,21695,0.211538462,1,0.403282478,26,3,4,123,48,993,0
1,1,1,15,0,5,0,0,34415,0.336136559,0,0.297773186,16,3,4,0,0,994,1
1,1,1,0,0,1,0,0,34403,0.315739303,0,0.528990575,1,3,4,1,120,999,0
1,1,1,0,0,1,0,0,34401,0.313251082,0,0.527514057,10,3,4,1,153,999,1
1,1,1,12,0,1,9,0,34399,0.310744699,0,0.526028252,10,3,4,1,146,1005,1
1,1,1,63,0,2,0,0,34397,0.305676646,0,0.523028431,181,3,4,0,0,1007,1
1,1,1,0,1,2,0,0,34367,0.334337471,1,0.320275914,232,3,4,1,132.5,1007,0
1,0,1,5,0,2,0,0,34359,1,0,0,7,3,4,0,0,1007,1
1,1,1,2,0,1,2,0,34323,0.298224513,0,0.273932034,2,3,4,1,149,1007,0
1,0,1,2,0,1,0,0,34321,0.295804598,0,0,2,3,4,0,0,1007,1
1,1,1,16,0,1,0,0,34241,0.187405905,0,0.172915256,0,3,4,1,1405,1007,0
1,1,0,2,0,1,0,0,32977,0,0,0.62745098,0,3,4,9,1296,1008,0
1,1,1,16,0,1,0,0,34239,0.186550543,0,0.170950684,0,3,4,0,0,1010,1
1,1,1,10,0,1,0,0,34061,0.185693378,2,0.168976757,0,3,4,2,402,1013,0
2,1,1,8,1,1,4,0,23989,0.36156256,1,0.36686935,4,3,4,99,3219,1014,0
1,1,1,17,0,6,17,0,33573,0.31576082,0,0.223852657,35,3,4,6,3495.5,1014,0
1,1,1,4,0,2,4,0,34161,1,0,0.307161005,4,3,4,1,837.5,1014,0
1,1,1,4,0,2,0,0,34121,1,0,0.302910459,4,3,4,1,0,1014,1
1,1,1,1,0,1,1,0,34151,1,0,0.325340713,1,3,4,1,6636,1014,0
1,1,1,4,0,1,4,1,34139,0.554994193,1,0.385208597,5,3,4,1,860,1029,0
1,1,1,0,0,1,0,0,34143,1,0,0.661627907,1,3,4,1,2228,1035,0
1,1,1,140,0,8,49,0,34011,1,2,0.444229692,128,3,4,1,662.375,1035,0
1,1,1,140,0,8,0,0,34009,1,0,0.444229692,128,3,4,1,0,1035,0
1,0.5,1,3,0,1,0,0,34175,1,0,0.328571429,2,3,4,1,940,1036,0
1,0,1,3,0,1,0,0,34173,1,0,0,2,3,4,0,0,1036,1
1,1,1,1,0,1,0,0,34149,1,0,0.324964717,1,3,4,0,0,1044,1
1,1,1,0,0,1,0,0,34141,1,0,0.653571429,1,3,4,0,0,1044,1
1,1,1,42,0,4,6,0,33753,1,0,0.548697599,32,3,4,4,592.25,1044,0
1,1,0,1,0,1,1,0,34123,0,0,0.300765568,1,3,4,1,1568,1054,1
1,1,1,4,0,1,0,0,34137,0.552264096,0,0.38247619,5,3,4,0,0,1054,1
1,1,0,25,0,5,0,0,34125,0,0,0.200178571,42,3,4,0,0,1054,1
1,1,1,1,0,1,1,0,33987,0.278768952,0,0.296136101,1,3,4,1,1700,1057,0
1,1,1,0,0,1,0,0,33853,0.3170388,0,0.323581328,3,3,4,3,1132,1059,0
1,1,1,0,0,1,0,0,33855,0.316245582,0,0.334245635,3,3,4,3,0,1087,0
1,1,1,0,0,2,0,0,33851,0.314653604,1,0.332434059,16,3,4,3,0,1088,0
1,1,1,0,0,3,0,0,33571,0.312251689,0,0.197690387,30,3,4,5,0,1088,1
1,1,1,2,0,1,0,0,33989,0.278271803,0,0.29369213,4,3,4,1,1702,1088,1
1,1,1,10,0,1,0,0,34059,0.186366452,0,0.169493692,0,3,4,0,0,1103,1
1,1,1,1,0,1,1,0,33995,1,0,0.332617332,1,3,4,1,671,1103,0
1,1,1,0,0,1,0,0,33569,0.311447305,0,0.331524568,31,3,4,5,0,1103,1
1,1,1,0,0,1,0,0,34007,0.330612596,0,0.310641037,9,3,4,1,5208,1112,1
1,1,1,0,0,1,0,0,34005,0.329698133,0,0.309832879,9,3,4,1,0,1117,1
1,1,1,18,0,3,12,0,33675,0.307476122,0,1,46,3,4,4,619.6666667,1117,0
1,1,1,26,0,4,10,0,33741,0.444612272,0,0.592592593,70,3,4,4,191.5,1119,0
1,1,1,1,0,1,0,0,33993,1,0,0.32852296,1,3,4,0,0,1119,1
1,1,1,3,0,1,0,0,33985,0.276646289,0,0.291231127,5,3,4,0,0,1119,1
1,1,1,1,0,2,1,0,33925,0.423916054,0,0.616161616,5,3,4,1,5982,1119,0
1,1,1,15,0,1,15,0,33685,0.666666667,0,0.597883598,22,3,4,2,350,1119,0
1,1,1,1,1,1,1,0,33687,0.666666667,1,0.597883598,3,3,4,2,352,1120,0
1,1,1,16,0,1,0,0,33683,0.666666667,0,0.597883598,25,3,4,2,0,1120,0
1,1,1,9,0,5,9,0,33827,0.354491342,1,0.573221692,22,3,5,1,209.6,1122,1
1,1,1,9,0,5,0,0,33825,0.354491342,0,0.573221692,22,3,5,1,0,1122,1
1,1,1,0,0,2,0,0,33775,0.363140554,0,0.430472426,65,3,4,1,51,1124,0
1,1,1,1,0,1,1,0,33773,0.362266947,0,0.428212396,1,3,4,1,5947,1219,0
1,1,1,1,0,3,1,0,33771,0.359631687,0,0.421323389,66,3,4,1,2016.333333,1230,1
2,1,1,4,1,6,3,0,33579,0.62,1,0.355191945,594,3,5,2,1006.5,1236,1
1,1,1,2,0,2,1,0,33475,0.296306382,1,0.189635459,45,3,4,2,383.5,1241,0
1,1,1,42,0,4,0,0,33751,1,0,0.522150399,32,3,4,0,0,1243,1
1,0,0,35,0,2,30,0,32763,0,0,0,87,3,4,1,1802,1243,1
1,1,1,26,0,4,10,0,33739,0.450332005,0,0.583783784,70,3,4,0,191.5,1257,1
1,1,1,1,0,1,1,0,33709,0.319213031,0,0.335022026,13,5,4,1,298,1257,0
1,1,1,1,0,1,0,0,33707,0.318746738,0,0.332079646,13,5,4,0,0,1257,1
1,1,1,91,1,2,3,0,33575,0.448133333,1,0.579234973,12,3,5,1,1073.5,1262,0
1,1,1,0,0,1,0,0,33701,1,0,0.317586055,1,5,4,1,1155,1277,0
1,1,1,0,0,1,0,0,33699,1,0,0.314257206,1,5,4,1,0,1277,1
1,0,1,18,0,3,0,0,33673,0.278859433,0,0,46,3,4,1,0,1277,1
2,1,1,72,3,10,50,0,32489,0.504300399,3,0.329624815,108,3,4,10,211.9,1277,0
1,1,1,4,0,1,0,0,33655,0.562139918,0,0.534571681,14,3,4,1,696,1279,0
1,1,1,4,0,1,0,0,33653,0.55942029,0,0.533089425,14,3,4,0,0,1288,1
1,1,1,1,0,1,1,1,33281,0.572709661,1,0.294472789,5,3,5,2,573,1290,0
1,1,1,2,1,2,2,0,33339,0.565003022,1,0.28509355,12,3,5,2,659.5,1294,1
1,1,1,41,0,7,0,0,33275,0.565003022,0,0.28509355,66,3,5,2,0,1309,1
1,1,1,18,2,4,3,0,33279,0.561487895,3,0.280844477,26,3,5,2,1465.25,1361,1
1,1,1,21,1,6,20,0,33277,0.556107378,1,0.274375312,24,3,5,2,1229.666667,1392,1
2,1,1,25,0,5,14,3,32941,0.551521711,3,0.311646644,99,4,5,5,1387.8,1445,1
1,1,1,138,0,8,49,0,32149,1,8,0.625,120,3,4,12,1234.125,1450,1
2,1,1,25,0,5,0,0,32939,0.546840309,0,0.310569577,99,4,5,5,0,1450,1
2,1,0.5,4,0,6,0,0,33577,0.5,0,0.345227322,594,3,5,0,0,1456,1
1,1,1,14,0,1,8,0,33497,0.546206084,0,1,18,1,1,1,1641,1457,0
1,0.333333333,1,1,0,2,1,0,33355,0.312222222,0,0.333333333,2,5,5,1,238,1460,0
1,1,1,14,0,1,0,0,33495,0.545569199,0,1,18,1,1,0,0,1460,1
1,1,1,4,0,2,4,0,32895,0.442974853,0,0.655737705,7,3,4,5,5446,1460,1
1,1,1,10,0,1,1,0,32893,0.441720292,0,0.65,12,3,4,5,8948,1461,1
1,1,1,6,0,2,6,0,32891,0.439194139,0,0.637931034,6,3,4,5,5443.5,1468,1
1,1,1,5,0,6,5,0,32889,0.432508737,0,0.596153846,16,3,4,5,815.8333333,1468,0
1,1,1,5,0,1,3,0,32887,0.43120416,0,0.588235294,4,3,4,5,8943,1468,1
1,1,0.333333333,2,0,2,0,0,33473,0.266739423,0,0.175663656,45,3,4,0,0,1468,1
1,1,1,3,0,2,2,0,33373,0.368060688,0,0.361136758,3,3,4,1,6714.5,1468,0
1,1,1,1,0,1,1,0,33383,0.367219568,0,0.4,1,3,4,1,232,1470,0
1,0.333333333,1,1,0,1,0,0,33381,0.366343141,0,0.333333333,1,3,4,0,0,1477,1
1,1,1,0,0,1,0,0,33377,0.425778523,0,1,2,5,4,1,10768,1477,0
1,1,1,0,0,1,0,0,33375,0.416365056,0,1,2,5,4,0,0,1477,1
1,1,1,3,0,2,0,0,33371,0.364582983,0,0.35963178,3,3,4,0,0,1477,1
1,1,1,8,0,1,0,0,33365,0.406637807,0,0.121212121,0,3,4,1,543,1477,0
1,0.090909091,1,8,0,1,0,0,33363,0.39658082,0,0.090909091,0,3,4,0,0,1763,1
1,1,1,0,0,1,0,0,33323,0.309800469,0,0.279227131,9,3,4,1,319,1764,0
1,1,1,0,0,1,0,0,33321,0.307361602,0,0.277596423,9,3,4,0,0,1764,1
2,1,1,457,4,13,0,0,32485,0.464172336,4,0.321710588,468,3,4,8,0,1767,1
1,1,1,5,0,4,0,0,32487,0.464172336,0,1,11,3,4,8,0,1786,0
1,0.333333333,1,0,1,1,0,0,32481,0.461608567,1,0.146604938,9,3,4,8,0,1805,0
1,1,1,13,1,5,1,0,32479,0.448412698,1,0.297113636,23,3,4,8,1152.6,1805,1
2,1,1,34,0,5,0,0,24171,0.349597375,0,0.458437311,114,3,4,91,0,1805,0
2,1,1,34,4,5,0,0,24173,0.342736588,6,0.456055769,114,3,4,91,0,1807,1
1,1,1,1,0,1,0,0,33243,0.378217261,0,0.342404108,1,3,3,1,0,1808,0
1,1,1,1,0,1,1,0,33245,0.377312191,0,0.341010896,1,3,3,1,957,1840,1
1,1,1,0,0,2,0,0,32915,0.338206687,0,0.533944359,11,3,5,4,0,1842,0
1,1,1,0,0,2,0,0,32917,0.33537851,0,0.53193116,11,3,5,4,1823.5,1842,1
2,1,1,64,2,33,63,0,32171,0.669180984,7,0.324107396,213,3,5,10,431.8484848,2087,1
2,1,1,1,0,3,1,0,33219,0.667537843,0,0.305957019,24,3,5,1,419.6666667,2451,0
1,1,1,1,0,2,0,0,32195,0.649551234,0,0.296613096,2,3,5,9,0,2451,0
1,1,1,624,0,4,0,0,32193,0.649551234,0,0.358049861,702,3,5,9,0,2468,1
7,1,1,359,0,105,0,0,22565,0.649551234,0,0.348167904,1096,3,5,105,0,2472,1
1,1,1,6,0,2,0,0,32191,0.639484483,0,0.502999854,6,3,5,9,1158,2476,1
1,1,1,40,0,14,0,0,32189,0.639484483,0,0.320735069,48,3,5,9,0,2521,1
1,1,1,39,0,1,0,0,32187,0.637532233,0,0.355109632,39,3,5,9,0,2554,1
1,1,1,11,0,2,0,0,32185,0.637532233,0,0.355109632,20,3,5,9,0,2562,1
2,1,1,8,1,5,0,0,32183,0.634231069,3,0.313759084,120,3,5,9,0,2568,1
2,1,1,15,1,4,0,0,32181,0.628822287,3,0.311349107,138,3,5,9,0,2574,1
2,1,1,8,0,4,0,0,32179,0.628822287,2,0.378491141,66,3,5,9,0,2617,1
2,1,1,13,1,2,0,0,32175,0.623251139,3,0.308922144,141,3,5,9,0,2618,1
2,1,1,18,0,6,0,0,32177,0.623251139,0,0.321360753,47,3,5,9,0,2620,1
2,1,1,0,0,3,0,0,32173,0.621118598,2,0.308007616,96,3,5,9,0,2634,1
1,1,1,0,0,1,0,0,33217,0.304905437,1,0.276174279,9,5,5,1,2162,2637,1
1,1,1,0,0,1,0,0,33215,0.302431791,0,0.274529221,9,5,5,0,0,2638,1
1,1,1,22,0,7,4,0,29451,0.344094424,1,0.332625762,111,3,5,29,1210.571429,2638,1
1,1,1,19,0,3,7,0,33151,0.362761154,0,0.361832996,21,3,4,1,1313.333333,2638,1
1,1,1,19,0,3,0,0,33149,0.36008368,0,0.359561939,21,3,4,0,0,2640,1
1,1,1,2,0,1,2,0,32905,0.479049953,0,0.533192606,2,3,4,3,9242,2678,0
1,1,1,132,0,47,124,0,33023,0.316999223,0,0.493249835,132,3,4,1,312.0851064,2679,1
1,1,1,4,0,2,0,0,33029,0.650145773,0,0.302640037,9,3,4,1,0,2680,1
2,1,1,1,5,6,1,1,30041,0.616780262,9,0.333714106,324,3,5,25,1045.666667,2695,1
1,1,1,4,1,2,4,0,33031,0.635258359,1,0.295524119,9,3,4,1,1032.5,2709,1
1,1,1,9,0,1,0,0,32851,1,0,0.192518939,0,3,4,3,2955,2716,0
1,1,1,22,0,7,0,0,29449,0.34504246,0,0.323290329,111,3,5,28,0,2717,1
1,1,1,42,3,2,20,0,32167,0.613832418,4,0.319738689,47,3,5,9,1929.5,2717,1
1,1,1,11,0,2,0,0,32169,0.613832418,0,0.287638191,11,3,5,9,0,2717,1
1,1,1,0,0,1,0,0,32165,0.612341423,0,0.287198462,11,3,5,9,3654,2717,1
1,1,1,62,0,1,0,0,30075,0.612341423,0,0.306451747,62,3,5,25,0,2717,0
1,1,1,1,0,1,0,0,30071,0.61083887,0,0.318811903,4,3,5,25,0,2717,1
1,1,1,9,0,1,0,0,30073,0.61083887,0,0.27714685,17,3,5,25,0,2718,0
1,1,1,0,0,1,0,0,30069,0.609324625,0,0.344012652,14,3,5,25,0,2718,1
1,1,1,5,0,1,0,0,30067,0.609324625,0,1,17,3,5,25,0,2718,0
1,1,1,13,0,4,0,0,30063,0.605486949,0,0.271594982,39,3,5,25,0,2718,0
1,1,1,14,0,1,0,0,30061,0.605486949,0,0.271594982,5,3,5,25,0,2718,0
1,1,1,1,0,1,0,0,30059,0.603930685,0,0.317882587,1,3,5,25,0,2740,1
