_id,number of reviewer,r_last_interact(month),review_time_duration(sec),defective,submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_open_count,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,Total_patch_LOC,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,Avg_cyclomatic_complexity
,1,1.0,215423.0,1,1.0,18,0,2,18,0,0,49785,0.6516174402250339,0,1327,0.40784814816180326,26,normal,--,786
,1,1.0,224706.0,1,1.0,1,0,2,1,0,0,49745,0.2920091324200917,0,836,0.38347661996584,14,normal,--,787
,1,1.0,1561561.0,0,1.0,21,0,2,0,0,0,46315,0.8731343283582089,0,17983,0.385091570588525,27,critical,--,792
,1,1.0,500287.0,1,1.0,11,1,1,0,0,0,48907,1.0,1,0,0.7826190476190479,9,normal,--,809
,1,1.0,500287.0,1,1.0,8,0,1,0,0,0,48903,1.0,0,4058,0.7812518718179098,6,normal,--,812
,1,1.0,500286.0,1,1.0,9,0,1,0,0,0,48905,1.0,0,0,0.7812518718179098,9,normal,--,827
,1,1.0,1541413.0,1,1.0,21,0,2,0,0,0,46313,0.8692307692307693,0,0,0.3825868519351177,27,critical,--,902
,1,1.0,239025.0,0,1.0,2,0,3,0,0,0,49641,0.3740483687852052,0,0,0.43183968383354865,8,normal,P2,902
,1,1.0,239002.0,0,1.0,52,0,15,0,0,0,49639,0.36111548384277736,1,0,0.22808564326888275,353,normal,P2,921
,1,1.0,33450.0,0,1.0,22,0,6,0,0,0,49807,0.16184324209402526,0,0,0.47727272727272696,56,normal,--,932
,1,1.0,19676.0,0,1.0,1,0,1,1,0,0,49751,0.43703079120989213,0,219,0.3106628074164043,6,normal,--,932
,1,1.0,27266.0,0,1.0,1,0,1,1,0,0,49741,0.436750567611689,0,129,0.31041475517006256,1,normal,--,932
,1,1.0,27210.0,0,1.0,20,0,4,20,0,0,49739,0.4356268779710172,0,236,0.30942075842076866,20,normal,--,932
,1,1.0,56779.0,0,1.0,0,0,4,0,0,0,49645,1.0,0,1655,0.9451476793248946,40,normal,--,933
,1,1.0,2756576.0,1,1.0,4,0,4,4,0,0,42905,0.30742414333850127,0,8879,0.23865934395856908,45,normal,--,940
,1,1.0,2756576.0,1,1.0,4,0,4,0,0,0,42901,0.30742414333850127,0,0,0.23865934395856908,48,normal,--,956
,1,1.0,2756576.0,1,1.0,0,0,2,0,0,0,42903,0.30692318431015553,0,1875,0.2375075426634997,3,normal,--,956
,1,1.0,151909.0,0,1.0,0,0,3,0,0,0,49391,0.5153846153846141,3,78,0.8156177156177145,77,normal,P3,956
,1,1.0,610694.0,0,1.0,0,1,1,0,0,0,48575,0.5663306116512923,2,794,0.5412201837161718,20,normal,--,956
